SOC_gkg,latitude,longitude,elevation,slope,landcover,rainfall,lst,ndvi,twi,smi,soil_ph,soil_texture
8.328352982,-11.74118301,-47.23130302,383,1.1839803,10,16893.66557,31.94755538,0.5540917,17.57987549,0.859565945,5.4,6
8.337011255,-9.159139996,-47.28334536,280,0.6630423,10,18692.63136,33.664378,0.49110913,18.26763182,0.872300738,5.3,6
8.34864491,-10.63335328,-49.92093605,187,0.27565855,10,18997.78887,28.55175251,0.61252105,20.23644374,0.83437706,5.4,6
8.374540987,-11.08601028,-49.86755744,195,0.07729086,10,18621.40085,28.8405752,0.48194158,14.99318615,0.836519446,5.4,6
8.377210529,-9.300033956,-49.96500155,166,0.54959136,10,19834.36446,31.9167932,0.41279054,20.35648836,0.859337762,4.9,6
8.379778956,-10.12287691,-50.01419793,182,0.11017458,10,18546.51147,29.53956029,0.6396498,15.53218265,0.841704275,4.9,6
8.400701566,-12.8966085,-48.10860912,481,6.081711,10,15427.75739,33.85443076,0.40236044,14.65671391,0.873710483,5.5,6
8.408020359,-10.61170433,-49.28717929,228,0.5036802,10,19245.11827,32.87042078,0.4094819,15.44517127,0.86641144,5.2,6
8.415331979,-9.185941585,-48.49730273,270,1.1205753,10,19496.04924,32.87212979,0.35944775,16.13831845,0.866424116,5.3,6
8.440308059,-10.16022313,-49.85063709,185,0.2705162,10,19218.95092,31.57670021,0.56143564,16.44847338,0.85681507,5.2,6
8.449653432,-10.38816383,-49.4689612,194,0.2816976,10,19282.02769,32.62945037,0.5472474,18.64198738,0.864624005,5.2,6
8.481468236,-9.905626284,-48.40799937,263,1.1978346,10,18558.63369,36.85925012,0.33359408,14.99318615,0.895999189,5.1,6
8.509900418,-11.19521498,-48.40644978,352,5.01815,10,18089.51834,25.43280926,0.5050101,16.09179843,0.811241823,5.5,6
8.517775089,-9.747218185,-47.62728657,288,1.4160739,10,18193.86227,30.92898542,0.48099756,15.88048934,0.852010547,5.2,6
8.551124577,-9.870680653,-47.67771018,251,1.1845139,10,18154.105,29.63697386,0.47920963,17.48992725,0.842426855,5.1,6
8.560681454,-12.14672658,-50.43296506,201,0.12473046,10,17009.35887,34.72213312,0.44454455,14.65671391,0.880146798,5.4,6
8.564888023,-11.98423766,-49.7065455,199,0.11593621,10,16621.36265,32.15947262,0.48988402,21.63287522,0.861137873,5.6,6
8.619086082,-8.415806287,-47.09320821,295,0.92709875,10,18063.7227,31.95610043,0.4728092,17.40398482,0.859629329,5.5,6
8.629942785,-10.63133834,-48.52282084,429,2.8873482,10,17650.85779,32.68242968,0.4680082,14.99318615,0.865016987,5.5,6
8.647655466,-7.932298214,-48.61011659,469,0.6483481,10,21219.5375,31.09219588,0.48843756,15.12671754,0.853221186,5.3,6
8.662918187,-6.63655225,-47.73520463,302,1.2157583,10,18275.88535,26.59151804,0.40773922,14.43357036,0.819836722,5.3,6
8.687770323,-12.84075544,-47.15576978,445,1.5991949,10,15147.38643,32.08085816,0.50176555,14.43357036,0.860554739,5.7,6
8.703520784,-12.45490373,-50.44628319,207,0.03864545,10,17985.32593,32.09965727,0.48334238,16.5130119,0.860694184,5.4,6
8.741540963,-9.303636314,-47.75626906,222,0.9077797,10,18663.62521,26.92990202,0.51623666,21.77748159,0.822346737,5.3,6
8.744938135,-10.42562179,-49.68492472,190,0.5970712,10,19159.70519,34.03767461,0.4282271,17.44172515,0.875069723,5.5,6
8.753213523,-11.44412331,-47.64078344,374,0.86825794,10,17419.19378,29.75147753,0.48935214,18.13487233,0.843276203,5.6,6
8.794210019,-11.85721808,-48.20873737,355,1.2475288,10,17113.14374,35.02377338,0.46682554,16.09179843,0.88238426,5.3,6
8.827382635,-10.82175028,-48.43912981,321,2.5592535,10,17746.87525,37.33728463,0.39742664,14.65671391,0.899545082,5.6,6
8.875339593,-12.81427243,-50.48704617,216,0.055354804,10,17843.60174,32.52007373,0.5407399,16.4812632,0.863812687,5.4,6
8.885986817,-12.70613633,-46.83941175,477,2.1385744,10,14927.73098,31.24771579,0.5346317,14.43357036,0.854374778,5.9,4
8.922160336,-7.977909652,-46.64011388,319,0.24465407,10,15984.44032,32.87104224,0.5369014,15.81986472,0.866416049,5.4,6
8.942183945,-9.793762788,-47.8743306,243,1.9752173,10,18244.65542,29.87965328,0.50135905,22.88926042,0.844226966,5.4,6
8.9489489,-12.16453603,-49.60600934,258,1.396006,10,16973.10203,33.75568796,0.45316613,15.12671754,0.872978044,5.2,6
8.966678743,-8.244638767,-46.98982054,324,0.825287,10,18036.26404,31.81681612,0.41246757,16.44847338,0.858596167,5.4,6
8.976752898,-10.43694517,-49.82940624,182,0.16534498,10,19218.92794,29.7634406,0.51158565,20.14565164,0.843364941,5.3,6
9.017868206,-12.18089021,-46.51973159,465,2.3643036,10,17102.20824,31.8655229,0.5498893,17.12481344,0.858957457,5.8,4
9.065294825,-11.85171459,-49.09722469,309,0.9475466,10,17506.41764,31.79203547,0.3550127,15.24450057,0.858412352,5.2,6
9.101561046,-11.18028526,-47.12772829,429,1.0487696,10,17800.37531,31.80741656,0.51679724,15.68633333,0.858526444,5.5,6
9.136809131,-12.76146434,-47.52646169,336,0.23523258,10,15340.75423,32.30644748,0.49335358,15.24450057,0.862228082,5.6,6
9.145041587,-10.71153301,-49.12746064,294,1.2967429,10,18862.8052,33.00577437,0.44859493,18.13487233,0.867415445,5.2,6
9.145983183,-7.986774953,-46.90763629,267,0.90043145,10,17935.00147,29.120568,0.31571278,14.43357036,0.838596336,5.5,6
9.175332767,-10.9654876,-48.76062612,312,0.88586384,10,18539.85947,31.70487596,0.46441954,16.13831845,0.857765833,5.4,6
9.206110544,-10.15900995,-47.92604586,330,1.4488478,10,18041.20566,30.2761436,0.58520406,18.19477047,0.847167994,5.3,6
9.221669948,-12.15942437,-49.58813945,263,0.6940958,10,17041.16238,33.75568796,0.45316613,14.99318615,0.872978044,5.1,6
9.230238713,-10.2266429,-47.51459805,307,1.185146,10,17442.90035,34.6845349,0.40353432,15.44517127,0.879867907,5.2,6
9.320111596,-9.09506916,-47.10460848,308,0.3224969,10,18157.57399,34.60449626,0.3444186,15.34986109,0.879274209,5.4,6
9.326963917,-10.86460488,-48.96465152,314,0.66510314,10,18830.15952,32.78667929,0.44639453,15.88048934,0.865790274,5.4,6
9.329555324,-11.42480217,-48.22592431,288,0.72872525,10,17618.04327,32.63799542,0.46289438,16.09179843,0.864687389,5.3,6
9.354565306,-9.572104887,-46.84782056,408,2.0488346,10,16609.72433,33.25665704,0.5062815,14.99318615,0.869276406,5.4,6
9.377805725,-10.9410997,-47.68605532,342,2.1259346,10,17146.61466,30.40047408,0.5547343,16.26615182,0.848090234,5.5,6
9.38543101,-9.988516026,-48.00532435,303,0.43227556,10,18673.26325,35.61509084,0.39624262,17.30995587,0.886770448,5.2,6
